GEONAME,LNTITLE,GEOID,TOT_EST,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE,ID,totalvotes,TURNOUT,,
"Stephens County, Georgia",Total,05000US13257,25585,19865,,25145,134,19490,105,13257,9815,0.503591585,,
"Woodward County, Oklahoma",Total,05000US40153,21110,15790,,20405,214,15080,214,40153,7595,0.503647215,,
"Washington County, Tennessee",Total,05000US47179,126045,101240,,123310,455,98755,411,47179,49750,0.503771961,,
"Sequatchie County, Tennessee",Total,05000US47153,14710,11410,120,14600,67,11300,162,47153,5694,0.503893805,,
"Floyd County, Georgia",Total,05000US13115,96200,73425,72,91320,543,68655,544,13115,34608,0.504085646,,
"Brown County, Texas",Total,05000US48049,37935,29210,46,36400,339,27820,324,48049,14026,0.504169662,,
"Montgomery County, New York",Total,05000US36057,49665,38335,17,49060,128,37765,115,36057,19054,0.504541242,,
"Lynn County, Texas",Total,05000US48305,5725,4220,14,5450,113,3980,89,48305,2009,0.504773869,,
"Humphreys County, Tennessee",Total,05000US47085,18215,14195,36,18190,29,14170,45,47085,7153,0.504798871,,
"Neshoba County, Mississippi",Total,05000US28099,29475,21130,27,29215,131,20905,104,28099,10553,0.504807462,,
"Bradley County, Tennessee",Total,05000US47011,102860,79815,,99445,572,76590,568,47011,38666,0.504843974,,
"Maverick County, Texas",Total,05000US48323,56830,38505,,44565,1069,26900,966,48323,13588,0.505130112,,
"Pittsburg County, Oklahoma",Total,05000US40121,44645,34690,,44095,120,34185,114,40121,17271,0.505221588,,
"Seneca County, New York",Total,05000US36099,35035,27945,31,34760,87,27670,94,36099,13980,0.505240332,,
"Reno County, Kansas",Total,05000US20155,63805,49015,,62590,242,47910,228,20155,24210,0.50532248,,
"Kanawha County, West Virginia",Total,05000US54039,189635,150935,,188380,218,149765,196,54039,75690,0.50539178,,
"Ross County, Ohio",Total,05000US39141,77195,60375,24,76890,91,60080,90,39141,30380,0.505659121,,
"Escambia County, Alabama",Total,05000US01053,37875,29445,,37740,82,29330,70,01053,14845,0.506137061,,
"Palo Pinto County, Texas",Total,05000US48363,27920,21285,19,26900,240,20290,226,48363,10270,0.50616067,,
"Mohave County, Arizona",Total,05000US04015,203630,165580,73,195735,777,157930,769,04015,79943,0.506192617,,
"Wayne County, Nebraska",Total,05000US31179,9415,7590,33,9255,109,7455,75,31179,3776,0.506505701,,
"Irwin County, Georgia",Total,05000US13155,9365,7255,,9350,20,7245,21,13155,3670,0.506556246,,
"Franklin County, Tennessee",Total,05000US47051,41350,32755,38,40790,251,32370,167,47051,16404,0.506765524,,
"Atkinson County, Georgia",Total,05000US13003,8270,5905,13,7440,166,5150,135,13003,2610,0.506796117,,
"Lewis County, Tennessee",Total,05000US47101,11905,9250,118,11775,128,9120,93,47101,4622,0.506798246,,
"Franklin County, Georgia",Total,05000US13119,22190,17290,40,21650,129,16770,122,13119,8502,0.506976744,,
"Lamar County, Texas",Total,05000US48277,49625,37900,50,48290,272,36705,254,48277,18611,0.507042637,,
"Tyler County, West Virginia",Total,05000US54095,9000,7220,30,8985,15,7205,29,54095,3654,0.507147814,,
"Chippewa County, Michigan",Total,05000US26033,38330,31025,14,37715,171,30460,169,26033,15456,0.507419567,,
"St. Bernard Parish, Louisiana",Total,05000US22087,44090,32225,77,42890,341,31150,263,22087,15815,0.507704655,,
"Prentiss County, Mississippi",Total,05000US28117,25340,19480,18,25300,39,19440,34,28117,9872,0.50781893,,
"Shelby County, Tennessee",Total,05000US47157,936990,698020,,898935,1606,664270,1385,47157,337383,0.507900402,,
"Lafayette County, Arkansas",Total,05000US05073,7125,5665,,7095,26,5630,26,05073,2860,0.507992895,,
"Zapata County, Texas",Total,05000US48505,14335,9490,25,10885,520,6185,476,48505,3142,0.508003234,,
"Madison County, Ohio",Total,05000US39097,43535,34300,59,43170,165,34015,127,39097,17290,0.508305159,,
"Sevier County, Tennessee",Total,05000US47155,94535,74430,61,91200,483,71410,392,47155,36312,0.50850021,,
"Sanpete County, Utah",Total,05000US49039,28550,20725,59,27680,149,19985,153,49039,10164,0.508581436,,
"Unicoi County, Tennessee",Total,05000US47171,17945,14500,47,17495,206,14140,142,47171,7195,0.50884017,,
"Bacon County, Georgia",Total,05000US13005,11250,8350,3,10765,112,7895,78,13005,4020,0.509183027,,
"Rockcastle County, Kentucky",Total,05000US21203,16895,13150,,16880,18,13140,19,21203,6691,0.509208524,,
"Clinch County, Georgia",Total,05000US13065,6815,4960,59,6675,59,4820,20,13065,2455,0.5093361,,
"Johnson County, Missouri",Total,05000US29101,54230,42390,21,53285,220,41470,220,29101,21132,0.509573185,,
"Jasper County, Texas",Total,05000US48241,35640,26995,55,34975,161,26330,158,48241,13419,0.509646791,,
"Whitley County, Kentucky",Total,05000US21235,35840,27155,81,35700,65,27010,110,21235,13774,0.509959274,,
"Lake County, California",Total,05000US06033,64075,51050,101,60800,462,48020,420,06033,24496,0.510120783,,
"Malheur County, Oregon",Total,05000US41045,30475,22850,74,27990,324,20445,322,41045,10435,0.510393739,,
"Lumpkin County, Georgia",Total,05000US13187,31095,25105,181,30235,245,24340,284,13187,12425,0.510476582,,
"Audrain County, Missouri",Total,05000US29007,25870,19855,37,25710,44,19705,54,29007,10061,0.510581071,,
"McDonough County, Illinois",Total,05000US17109,31725,26455,30,30870,289,25625,290,17109,13092,0.510907317,,
"Ritchie County, West Virginia",Total,05000US54085,10045,7975,58,10040,11,7975,58,54085,4075,0.510971787,,
"Liberty County, Florida",Total,05000US12077,8285,6705,179,8025,94,6450,205,12077,3296,0.511007752,,
"Crockett County, Tennessee",Total,05000US47033,14560,10990,11,14100,98,10560,94,47033,5397,0.511079545,,
"Marion County, Texas",Total,05000US48315,10190,8330,67,10150,35,8290,81,48315,4238,0.511218335,,
"Lincoln Parish, Louisiana",Total,05000US22061,47480,37905,44,46025,331,36510,311,22061,18669,0.511339359,,
"Marion County, West Virginia",Total,05000US54049,56715,45325,64,56380,154,45035,144,54049,23029,0.511357833,,
"Bath County, Kentucky",Total,05000US21011,12115,9080,52,12005,54,8970,19,21011,4587,0.511371237,,
"Stone County, Mississippi",Total,05000US28131,17995,13925,38,17850,107,13775,85,28131,7045,0.511433757,,
"Norton County, Kansas",Total,05000US20137,5560,4520,64,5405,69,4365,67,20137,2234,0.511798396,,
"Bennett County, South Dakota",Total,05000US46007,3445,2255,81,3440,11,2245,80,46007,1149,0.511804009,,
"Hardin County, Ohio",Total,05000US39065,31650,24325,21,31285,160,24015,110,39065,12294,0.511930044,,
"Dakota County, Nebraska",Total,05000US31043,20695,14670,,18060,429,12265,356,31043,6279,0.511944558,,
"Custer County, Oklahoma",Total,05000US40039,29250,22070,,27725,326,20590,319,40039,10541,0.511947547,,
"Henry County, Tennessee",Total,05000US47079,32290,25490,61,32065,91,25285,108,47079,12945,0.511963615,,
"Anderson County, Tennessee",Total,05000US47001,75545,59640,,74120,284,58365,241,47001,29881,0.511967789,,
"Doña Ana County, New Mexico",Total,05000US35013,213825,159045,,190400,1735,137950,1447,35013,70648,0.512127582,,
"Dawes County, Nebraska",Total,05000US31045,9080,7425,89,8830,158,7175,174,31045,3676,0.512334495,,
"Pleasants County, West Virginia",Total,05000US54073,7610,6145,47,7610,16,6145,47,54073,3150,0.51261188,,
"Jack County, Texas",Total,05000US48237,8865,6950,49,8455,109,6535,116,48237,3350,0.512624331,,
"Craig County, Oklahoma",Total,05000US40035,14685,11425,,14525,57,11285,54,40035,5785,0.512627381,,
"Marion County, Ohio",Total,05000US39101,65620,51815,56,65100,168,51325,161,39101,26322,0.512849489,,
"Mayes County, Oklahoma",Total,05000US40097,40925,30910,,40640,81,30630,82,40097,15717,0.513124388,,
"Lee County, Alabama",Total,05000US01081,153945,120410,121,148085,727,115345,595,01081,59191,0.513164853,,
"Pawnee County, Oklahoma",Total,05000US40117,16445,12485,9,16355,48,12400,42,40117,6364,0.513225806,,
"Banks County, Georgia",Total,05000US13011,18335,14015,28,17885,216,13590,210,13011,6975,0.513245033,,
"McCulloch County, Texas",Total,05000US48307,8240,6265,73,8015,163,6045,177,48307,3103,0.513316791,,
"Vermilion County, Illinois",Total,05000US17183,79615,60515,,78525,264,59545,205,17183,30570,0.513393232,,
"Smith County, Tennessee",Total,05000US47159,19175,14595,63,19045,97,14480,117,47159,7436,0.513535912,,
"San Jacinto County, Texas",Total,05000US48407,27170,21005,29,26280,267,20140,260,48407,10343,0.513555114,,
"Madison County, Tennessee",Total,05000US47113,98130,75510,42,96775,315,74225,312,47113,38120,0.513573594,,
"Leflore County, Mississippi",Total,05000US28083,30500,22050,22,30050,124,21690,97,28083,11140,0.513600738,,
"Dillon County, South Carolina",Total,05000US45033,31275,23185,,30725,279,22775,196,45033,11698,0.51363337,,
"Henderson County, Texas",Total,05000US48213,79215,61715,,75710,424,58485,396,48213,30045,0.513721467,,
"Labette County, Kansas",Total,05000US20099,20835,15900,52,20710,70,15780,84,20099,8107,0.513751584,,
"Otsego County, New York",Total,05000US36077,60980,50705,,60175,163,49960,140,36077,25668,0.513771017,,
"Pike County, Alabama",Total,05000US01109,33275,26610,130,32180,317,25630,272,01109,13168,0.513772922,,
"Barbour County, Alabama",Total,05000US01005,26615,20880,19,26085,118,20375,113,01005,10469,0.513815951,,
"Valencia County, New Mexico",Total,05000US35061,75995,57255,,72320,697,53700,655,35061,27592,0.513817505,,
"Marshall County, West Virginia",Total,05000US54051,32295,25750,55,32260,30,25715,60,54051,13216,0.513941279,,
"Jay County, Indiana",Total,05000US18075,21195,15690,36,21040,80,15535,86,18075,7986,0.514065014,,
"Hart County, Georgia",Total,05000US13147,25520,20095,3,25050,118,19680,111,13147,10117,0.514075203,,
"Woods County, Oklahoma",Total,05000US40151,9125,7240,75,9000,68,7135,97,40151,3668,0.514085494,,
"Scioto County, Ohio",Total,05000US39145,77365,60315,,76935,190,59880,189,39145,30784,0.514094856,,
"Noble County, Ohio",Total,05000US39121,14430,11745,,14375,32,11695,32,39121,6013,0.514151347,,
"Cherokee County, South Carolina",Total,05000US45021,56275,42890,83,55640,166,42310,166,45021,21759,0.514275585,,
"Sullivan County, Indiana",Total,05000US18153,21025,16675,119,20990,28,16640,122,18153,8559,0.514362981,,
"Coles County, Illinois",Total,05000US17029,52800,43275,17,52020,210,42505,202,17029,21863,0.514363016,,
"Roane County, Tennessee",Total,05000US47145,52985,42630,90,52460,212,42120,208,47145,21669,0.514458689,,
"Ashley County, Arkansas",Total,05000US05003,20990,16065,30,20625,76,15710,79,05003,8083,0.514513049,,
"Pike County, Missouri",Total,05000US29163,18475,14435,25,18350,73,14340,50,29163,7382,0.514783821,,
"Rio Arriba County, New Mexico",Total,05000US35039,39925,30260,24,38475,379,28900,367,35039,14878,0.514809689,,
"Shoshone County, Idaho",Total,05000US16079,12550,10060,57,12415,63,9945,66,16079,5120,0.514831574,,
"Lincoln County, Kentucky",Total,05000US21137,24425,18625,87,24370,52,18570,122,21137,9561,0.514862682,,
"Fayette County, Ohio",Total,05000US39047,28720,21860,57,28440,130,21670,115,39047,11162,0.515089986,,
"Jackson County, Alabama",Total,05000US01071,52610,41175,67,52040,201,40730,151,01071,20984,0.515197643,,
"Rice County, Kansas",Total,05000US20159,9950,7670,42,9645,102,7380,95,20159,3804,0.515447154,,
"Lafayette County, Florida",Total,05000US12067,8740,6925,178,8390,219,6580,299,12067,3392,0.51550152,,
"Pocahontas County, West Virginia",Total,05000US54075,8620,7100,37,8595,30,7070,45,54075,3646,0.515700141,,
"Oswego County, New York",Total,05000US36075,120515,94320,,119580,177,93420,170,36075,48180,0.515735389,,
"Harris County, Texas",Total,05000US48201,4434255,3226860,,3684365,8133,2543400,7107,48201,1312112,0.515888968,,
"Oneida County, New York",Total,05000US36065,232860,183145,38,224075,704,176295,506,36065,91009,0.516231317,,
"Richmond County, Virginia",Total,05000US51159,8870,7370,31,8585,105,7090,124,51159,3661,0.516361072,,
"Smyth County, Virginia",Total,05000US51173,31515,25215,40,31215,136,24960,124,51173,12890,0.516426282,,
"Stewart County, Tennessee",Total,05000US47161,13255,10405,54,13110,96,10260,109,47161,5299,0.516471735,,
"Obion County, Tennessee",Total,05000US47131,30900,24080,15,30465,133,23715,110,47131,12249,0.516508539,,
"Riverside County, California",Total,05000US06065,2323890,1710345,,2049170,4497,1453255,3943,06065,751391,0.517040024,,
"Orange County, Texas",Total,05000US48361,83750,63020,16,82490,319,61890,276,48361,32000,0.517046373,,
"Uvalde County, Texas",Total,05000US48463,27055,19475,80,24820,507,17330,504,48463,8964,0.517253318,,
"San Joaquin County, California",Total,05000US06077,714860,515340,,625725,2837,433295,2429,06077,224166,0.51735192,,
"Logan County, Illinois",Total,05000US17107,29820,24240,64,29505,102,23970,102,17107,12401,0.517355027,,
"Allegany County, Maryland",Total,05000US24001,73060,60190,20,72025,286,59250,220,24001,30654,0.517367089,,
"Taylor County, Florida",Total,05000US12123,22580,18230,63,22310,91,17955,111,12123,9290,0.517404623,,
"Decatur County, Georgia",Total,05000US13087,27235,20470,65,26640,120,19875,116,13087,10286,0.517534591,,
"Osage County, Oklahoma",Total,05000US40113,47925,36965,39,47585,122,36640,121,40113,18966,0.517631004,,
"Lyman County, South Dakota",Total,05000US46085,3855,2745,20,3855,9,2745,20,46085,1421,0.517668488,,
"Johnson County, Nebraska",Total,05000US31097,5165,4180,16,5015,80,4035,81,31097,2089,0.51771995,,
"Habersham County, Georgia",Total,05000US13137,43725,33680,41,41155,451,31370,400,13137,16243,0.517787695,,
"Leavenworth County, Kansas",Total,05000US20103,78785,59685,,77495,310,58520,242,20103,30301,0.51778879,,
"Baltimore city, Maryland",Total,05000US24510,621000,489820,37,591100,1682,462195,1478,24510,239402,0.517967525,,
"Liberty County, Montana",Total,05000US30051,2290,1855,158,2290,206,1855,158,30051,961,0.518059299,,
"Hardy County, West Virginia",Total,05000US54031,13940,11115,45,13690,131,10890,116,54031,5643,0.518181818,,
"Ohio County, West Virginia",Total,05000US54069,43255,34950,43,42910,122,34610,135,54069,17938,0.518289512,,
"Ripley County, Missouri",Total,05000US29181,13935,10695,62,13895,46,10655,86,29181,5524,0.518442046,,
"Mifflin County, Pennsylvania",Total,05000US42087,46585,36055,18,46380,69,35860,60,42087,18601,0.518711656,,
"Knox County, Texas",Total,05000US48275,3805,2805,,3630,49,2635,48,48275,1367,0.518785579,,
"Scotland County, North Carolina",Total,05000US37165,35710,27320,,35170,121,26845,110,37165,13928,0.518830322,,
"Vanderburgh County, Indiana",Total,05000US18163,181690,141905,,179180,551,139750,407,18163,72507,0.518833631,,
"Piute County, Utah",Total,05000US49031,1860,1420,134,1845,146,1405,134,49031,729,0.51886121,,
"Hyde County, North Carolina",Total,05000US37095,5630,4605,167,5440,112,4440,214,37095,2304,0.518918919,,
"Guadalupe County, New Mexico",Total,05000US35019,4470,3560,160,4420,39,3520,157,35019,1827,0.519034091,,
"Adams County, Washington",Total,05000US53001,19100,12380,57,15455,365,8945,360,53001,4644,0.519172722,,
"Tipton County, Tennessee",Total,05000US47167,61560,45735,75,61050,200,45225,213,47167,23481,0.51920398,,
"Harrison County, West Virginia",Total,05000US54033,68775,53965,62,68645,64,53845,84,54033,27960,0.51926827,,
"Pontotoc County, Oklahoma",Total,05000US40123,38215,29110,25,37640,131,28560,128,40123,14831,0.519292717,,
"Trousdale County, Tennessee",Total,05000US47169,7970,6125,,7930,43,6085,44,47169,3160,0.519309778,,
"Cattaraugus County, New York",Total,05000US36009,78505,60630,,77825,127,60000,120,36009,31161,0.51935,,
"Lincoln County, Tennessee",Total,05000US47103,33580,26020,,33235,128,25695,113,47103,13348,0.519478498,,
"Greene County, Pennsylvania",Total,05000US42059,37670,30480,45,37535,76,30345,88,42059,15764,0.519492503,,
"Worth County, Georgia",Total,05000US13321,20990,16150,,20800,108,15965,106,13321,8295,0.519574068,,
"Union County, New Mexico",Total,05000US35059,4290,3435,40,4135,79,3275,95,35059,1702,0.519694656,,
"Navarro County, Texas",Total,05000US48349,48175,35485,30,44030,470,31620,394,48349,16433,0.51970272,,
"Jerome County, Idaho",Total,05000US16053,22695,15665,58,19650,348,12990,272,16053,6751,0.519707467,,
"Monroe County, Indiana",Total,05000US18105,143290,120425,,134770,697,112430,619,18105,58454,0.519914614,,
"Magoffin County, Kentucky",Total,05000US21153,12885,9885,48,12840,59,9840,18,21153,5116,0.519918699,,
"Hoke County, North Carolina",Total,05000US37093,51855,36905,,49845,382,35035,344,37093,18230,0.520336806,,
"Hill County, Texas",Total,05000US48217,34900,26640,22,33060,209,24915,201,48217,12970,0.520569938,,
"Crawford County, Missouri",Total,05000US29055,24545,18735,40,24430,68,18620,77,29055,9696,0.520730397,,
"Brooks County, Texas",Total,05000US48047,7215,5465,229,6725,145,4985,262,48047,2596,0.520762287,,
"Bristol city, Virginia",Total,05000US51520,17340,13655,64,17190,91,13500,76,51520,7032,0.520888889,,
"DeKalb County, Alabama",Total,05000US01049,70935,53385,56,66780,525,49580,391,01049,25826,0.520895522,,
"Pushmataha County, Oklahoma",Total,05000US40127,11150,8695,15,11050,55,8605,50,40127,4483,0.520976177,,
"Rutherford County, Tennessee",Total,05000US47149,290290,217180,,278085,978,206215,818,47149,107436,0.520990229,,
"Atchison County, Kansas",Total,05000US20005,16555,12675,72,16495,34,12620,65,20005,6575,0.520998415,,
"Union County, Kentucky",Total,05000US21225,15065,12030,8,14955,57,11920,56,21225,6211,0.521057047,,
"Owen County, Indiana",Total,05000US18119,21040,16510,45,20935,49,16420,58,18119,8557,0.521132765,,
"Prairie County, Arkansas",Total,05000US05117,8335,6605,,8330,11,6605,6,05117,3444,0.521423164,,
"Cortland County, New York",Total,05000US36023,48715,39105,68,48365,132,38815,136,36023,20244,0.521550947,,
"Lyon County, Kansas",Total,05000US20111,33400,25860,74,31060,336,23560,340,20111,12288,0.521561969,,
"Treutlen County, Georgia",Total,05000US13283,6710,5240,188,6650,87,5180,203,13283,2703,0.521814672,,
"Neosho County, Kansas",Total,05000US20133,16360,12245,53,16210,62,12100,84,20133,6314,0.521818182,,
"Knox County, Indiana",Total,05000US18083,37955,29910,34,37770,100,29725,104,18083,15516,0.521984861,,
"Fayette County, Indiana",Total,05000US18041,23610,18300,22,23560,38,18255,42,18041,9530,0.522048754,,
"McIntosh County, Georgia",Total,05000US13191,13940,11365,,13880,58,11305,59,13191,5903,0.522158337,,
"Columbia County, Pennsylvania",Total,05000US42037,66770,54755,35,66045,230,54050,230,42037,28228,0.522257169,,
"Schley County, Georgia",Total,05000US13249,5090,3720,132,5025,71,3655,142,13249,1909,0.522298222,,
"Taylor County, Georgia",Total,05000US13269,8355,6570,21,8290,82,6525,50,13269,3408,0.522298851,,
"Troup County, Georgia",Total,05000US13285,69315,51695,,67475,436,49985,399,13285,26111,0.522376713,,
"Pickens County, South Carolina",Total,05000US45077,120720,96920,12,117480,431,93845,389,45077,49049,0.522659705,,
"Pearl River County, Mississippi",Total,05000US28109,55165,42345,105,54680,195,41865,195,28109,21883,0.522703929,,
"Berkeley County, West Virginia",Total,05000US54003,110175,83470,53,108405,479,81955,396,54003,42850,0.522847904,,
"Grady County, Georgia",Total,05000US13131,25145,18800,36,23910,157,17620,133,13131,9213,0.522871737,,
"Dallas County, Texas",Total,05000US48113,2513055,1836310,,2091085,6170,1451385,5496,48113,758973,0.522930167,,
"Hart County, Kentucky",Total,05000US21099,18510,14015,19,18380,76,13890,77,21099,7264,0.522966163,,
"Bon Homme County, South Dakota",Total,05000US46009,7000,5740,38,6945,37,5685,53,46009,2974,0.523131047,,
"Carter County, Oklahoma",Total,05000US40019,48530,36195,,47705,183,35425,161,40019,18534,0.523189838,,
"Grays Harbor County, Washington",Total,05000US53027,71235,56240,25,68935,358,54210,307,53027,28367,0.523279838,,
"Davidson County, Tennessee",Total,05000US47037,667885,523950,,612790,1624,475915,1274,47037,249068,0.523345555,,
"Cherokee County, Alabama",Total,05000US01019,25895,20570,49,25835,59,20505,75,01019,10733,0.523433309,,
"Johnson County, Texas",Total,05000US48251,157545,115985,,150970,821,110050,669,48251,57606,0.523452976,,
"Garvin County, Oklahoma",Total,05000US40049,27570,20690,30,27000,134,20145,128,40049,10546,0.523504592,,
"Henry County, Indiana",Total,05000US18065,48955,38660,,48790,57,38495,59,18065,20155,0.52357449,,
"Harnett County, North Carolina",Total,05000US37085,126620,92240,,122000,477,87970,415,37085,46065,0.523644424,,
"Grant Parish, Louisiana",Total,05000US22043,22370,17450,63,21755,168,16840,179,22043,8821,0.523812352,,
"Hinds County, Mississippi",Total,05000US28049,244595,183370,49,241635,493,180735,384,28049,94681,0.523866434,,
"Grant County, West Virginia",Total,05000US54023,11770,9460,77,11770,18,9460,77,54023,4956,0.523890063,,
"Leake County, Mississippi",Total,05000US28079,23010,16490,86,22650,101,16125,90,28079,8449,0.523968992,,
"Snyder County, Pennsylvania",Total,05000US42109,40245,31495,37,39965,81,31225,74,42109,16363,0.524035228,,
"Bamberg County, South Carolina",Total,05000US45009,15055,11975,,14935,128,11855,128,45009,6214,0.524167018,,
"Lonoke County, Arkansas",Total,05000US05085,71280,52410,,70535,181,51700,175,05085,27100,0.52417795,,
"Starke County, Indiana",Total,05000US18149,23070,17735,22,22925,99,17595,102,18149,9226,0.52435351,,
"Blaine County, Oklahoma",Total,05000US40011,9775,7600,105,9400,94,7230,147,40011,3793,0.52461964,,
"Stanislaus County, California",Total,05000US06099,530560,385000,,469025,2095,328050,1833,06099,172146,0.524755373,,
"East Carroll Parish, Louisiana",Total,05000US22035,7420,5650,102,7370,51,5600,129,22035,2939,0.524821429,,
"Chambers County, Alabama",Total,05000US01017,34020,26735,53,33735,66,26480,70,01017,13900,0.524924471,,
"Nicholas County, Kentucky",Total,05000US21181,7060,5470,48,6995,79,5410,68,21181,2841,0.525138632,,
"Chenango County, New York",Total,05000US36017,49285,38760,,48880,83,38380,78,36017,20160,0.52527358,,
"Ouachita County, Arkansas",Total,05000US05103,24730,19095,25,24545,86,18910,97,05103,9935,0.525383395,,
"Crockett County, Texas",Total,05000US48105,3835,2880,161,3610,207,2655,186,48105,1395,0.525423729,,
"Cleveland County, Arkansas",Total,05000US05025,8420,6480,34,8320,72,6380,84,05025,3354,0.525705329,,
"Charles Mix County, South Dakota",Total,05000US46023,9275,6535,,9270,9,6530,8,46023,3433,0.525727412,,
"Ellsworth County, Kansas",Total,05000US20053,6375,5160,68,6310,28,5095,71,20053,2679,0.525809617,,
"Tehama County, California",Total,05000US06103,63015,47855,,60465,564,45460,499,06103,23908,0.52591289,,
"Hutchinson County, Texas",Total,05000US48233,21780,16060,,21085,275,15505,187,48233,8155,0.525959368,,
"Red River County, Texas",Total,05000US48387,12455,9955,13,12300,115,9810,115,48387,5161,0.526095821,,
"Morris County, Texas",Total,05000US48343,12655,9765,,12300,116,9450,92,48343,4973,0.526243386,,
"Gray County, Kansas",Total,05000US20069,6035,4255,,5615,85,3925,56,20069,2066,0.526369427,,
"Gibson County, Tennessee",Total,05000US47053,49510,37410,53,49235,97,37135,98,47053,19547,0.526376734,,
"Wood County, West Virginia",Total,05000US54107,86260,67935,13,85935,129,67640,121,54107,35615,0.526537552,,
"Pierce County, Georgia",Total,05000US13229,19030,14190,,18725,119,13885,120,13229,7311,0.526539431,,
"Allen County, Kentucky",Total,05000US21003,20420,15525,,20270,72,15375,72,21003,8096,0.526569106,,
"Fentress County, Tennessee",Total,05000US47049,17935,13985,78,17880,57,13925,79,47049,7333,0.526606822,,
"Screven County, Georgia",Total,05000US13251,14115,10910,24,14055,35,10850,29,13251,5715,0.526728111,,
"Barton County, Kansas",Total,05000US20009,27215,20575,23,26060,203,19495,188,20009,10269,0.526750449,,
"Grayson County, Texas",Total,05000US48181,124230,94620,20,119000,572,90015,482,48181,47416,0.526756652,,
"Davison County, South Dakota",Total,05000US46035,19825,15290,88,19625,162,15095,126,46035,7952,0.526796953,,
"Chautauqua County, New York",Total,05000US36013,131750,104195,,130315,253,102880,240,36013,54234,0.527157854,,
"Kauai County, Hawaii",Total,05000US15007,70445,54705,40,65240,795,49955,729,15007,26335,0.527174457,,
"Rosebud County, Montana",Total,05000US30087,9350,6605,,9280,51,6550,41,30087,3453,0.527175573,,
"Cross County, Arkansas",Total,05000US05037,17330,13065,54,17295,29,13030,62,05037,6874,0.527551804,,
"Saline County, Nebraska",Total,05000US31151,14355,10915,85,13055,287,9735,285,31151,5136,0.527580894,,
"Butts County, Georgia",Total,05000US13035,23480,18455,32,23025,199,18030,175,13035,9514,0.527676095,,
"Baylor County, Texas",Total,05000US48023,3640,2860,95,3615,28,2840,96,48023,1499,0.527816901,,
"Haralson County, Georgia",Total,05000US13143,28665,21635,97,28545,79,21515,100,13143,11357,0.527864281,,
"Jennings County, Indiana",Total,05000US18079,28025,21215,84,27915,88,21120,91,18079,11150,0.527935606,,
"Franklin County, Washington",Total,05000US53021,87810,58415,,72880,1160,44920,964,53021,23720,0.528049866,,
"Camp County, Texas",Total,05000US48063,12630,9315,4,11870,184,8600,177,48063,4542,0.528139535,,
"Wharton County, Texas",Total,05000US48481,41375,30605,,38510,425,27890,391,48481,14732,0.528217999,,
"Navajo County, Arizona",Total,05000US04017,108210,78000,24,106360,384,76280,363,04017,40294,0.52823807,,
"Laurens County, South Carolina",Total,05000US45059,66440,51565,29,65065,219,50290,168,45059,26566,0.528256115,,
"Marion County, Arkansas",Total,05000US05089,16405,13505,28,16315,59,13450,53,05089,7107,0.528401487,,
"Casey County, Kentucky",Total,05000US21045,15930,12335,42,15750,62,12185,63,21045,6439,0.528436602,,
"Carroll County, Georgia",Total,05000US13045,113755,85970,,110975,460,83470,391,13045,44121,0.52858512,,
"Jackson County, Texas",Total,05000US48239,14680,10890,,13795,220,10030,213,48239,5302,0.528614158,,
"Anson County, North Carolina",Total,05000US37007,25885,20615,24,25170,98,19945,96,37007,10545,0.528703936,,
"Greene County, North Carolina",Total,05000US37079,21240,16635,19,19865,162,15310,157,37079,8095,0.528739386,,
"Esmeralda County, Nevada",Total,05000US32009,1070,855,144,1005,171,800,136,32009,423,0.52875,,
"Wirt County, West Virginia",Total,05000US54105,5825,4580,44,5825,16,4580,44,54105,2422,0.528820961,,
"Lee County, Mississippi",Total,05000US28081,85280,63230,58,84260,227,62215,240,28081,32913,0.529020333,,
"Herkimer County, New York",Total,05000US36043,63560,50095,,63050,205,49625,184,36043,26255,0.52906801,,
"Nowata County, Oklahoma",Total,05000US40105,10510,8075,7,10440,35,8005,34,40105,4237,0.529294191,,
"Owyhee County, Idaho",Total,05000US16073,11355,8310,,10420,135,7415,129,16073,3925,0.529332434,,
"Oklahoma County, Oklahoma",Total,05000US40109,764700,568700,,707560,1806,517475,1488,40109,273942,0.529382096,,
"Knox County, Tennessee",Total,05000US47093,448165,352305,56,435775,1039,341270,891,47093,180697,0.529483986,,
"Mineral County, West Virginia",Total,05000US54057,27605,21935,39,27510,77,21840,84,54057,11564,0.529487179,,
"Colfax County, New Mexico",Total,05000US35007,12715,10330,158,12430,150,10070,133,35007,5332,0.529493545,,
"Kearny County, Kansas",Total,05000US20093,3945,2785,28,3630,99,2485,96,20093,1316,0.529577465,,
"Faulkner County, Arkansas",Total,05000US05045,120415,91840,91,118035,444,89725,400,05045,47527,0.529696294,,
"New Madrid County, Missouri",Total,05000US29143,18230,13965,13,18150,38,13885,38,29143,7357,0.529852359,,
"Wyoming County, New York",Total,05000US36121,41240,33095,161,40775,133,32645,180,36121,17298,0.529882065,,
"Cass County, Indiana",Total,05000US18017,38325,29125,17,35855,326,26815,280,18017,14209,0.529889987,,
"Madison County, New York",Total,05000US36053,72090,57485,,71300,150,56735,145,36053,30064,0.529902177,,
"Wilson County, Kansas",Total,05000US20205,8955,6825,41,8895,35,6775,52,20205,3591,0.5300369,,
